iucn,lulc,lulcID
Savanna,Savanna Formation,4
Marine Intertidal,Wetland,11
Marine Oceanic,"River,Lake and Ocean",33
Artificial/Aquatic & Marine,Aquaculture,31
Artificial/Terrestrial,Soybean,39
Artificial/Terrestrial,Sugar cane,20
Artificial/Terrestrial,Rice,40
Artificial/Terrestrial,other Temporary Crops,41
Artificial/Terrestrial,Coffee,46
Artificial/Terrestrial,Citrus,47
Artificial/Terrestrial,other Perennial Crops,48
Artificial/Terrestrial,Aquaculture,31
Artificial/Terrestrial,Urban Area,24
Artificial/Terrestrial,Pasture,15
Artificial/Terrestrial,Mining,30
Artificial/Terrestrial,Forest Plantation,9
Artificial/Terrestrial,Mosaic Agriculture and Pasture,21
